Behavioral State,LandCover,Weather,Estimate,Std Dev,LCL,UCL,Sign.
Roosting,Basal Area,Wind Chill,1.219,0.139,0.949,1.497,*
,,Snow Depth,1.067,0.132,0.807,1.33,*
,Dist. to Forest Edge,Wind Chill,0.664,0.205,0.259,1.069,*
,,Snow Depth,0.496,0.202,0.097,0.895,*
,Percent Softwood,Wind Chill,0.958,0.109,0.742,1.172,*
,,Snow Depth,0.656,0.103,0.45,0.856,*
,Mean Tree Height,Wind Chill,1.324,0.219,0.897,1.763,*
,,Snow Depth,1.428,0.214,1.01,1.857,*
,Wind Exposure,Wind Chill,-0.135,0.083,-0.304,0.024,
,,Snow Depth,-0.056,0.07,-0.195,0.083,
Stationary,Basal Area,Wind Chill,0.674,0.099,0.477,0.871,*
,,Snow Depth,0.797,0.099,0.603,0.993,*
,Dist. to Forest Edge,Wind Chill,0.215,0.114,-0.013,0.437,
,,Snow Depth,0.29,0.11,0.069,0.502,*
,Mean Tree Height,Wind Chill,0.455,0.126,0.213,0.71,*
,,Snow Depth,0.53,0.128,0.282,0.79,*
,Wind Exposure,Wind Chill,0.038,0.067,-0.096,0.167,
,,Snow Depth,-0.02,0.073,-0.168,0.121,
,Agriculture,Wind Chill,-0.738,0.265,-1.34,-0.292,*
,,Snow Depth,-0.849,0.248,-1.417,-0.441,*
,Developed,Wind Chill,-0.486,0.135,-0.767,-0.231,*
,,Snow Depth,-0.571,0.147,-0.874,-0.29,*
,Percent Softwood,Wind Chill,0.504,0.136,0.235,0.773,*
,,Snow Depth,0.736,0.133,0.474,0.997,*
,Food Subsidy,Wind Chill,-0.552,0.143,-0.841,-0.274,*
,,Snow Depth,-0.734,0.139,-1.016,-0.465,*
Mobile,Dist. to Forest Edge,Wind Chill,-0.221,0.069,-0.356,-0.085,*
,,Snow Depth,-0.097,0.067,-0.229,0.037,
,Wind Exposure,Wind Chill,-0.009,0.024,-0.058,0.038,
,,Snow Depth,0.01,0.021,-0.03,0.051,
,Agriculture,Wind Chill,-0.307,0.084,-0.492,-0.159,*
,,Snow Depth,-0.178,0.083,-0.361,-0.035,*
,Developed,Wind Chill,-0.163,0.138,-0.448,0.099,
,,Snow Depth,-0.268,0.138,-0.551,-0.006,*
,Percent Softwood,Wind Chill,-0.038,0.049,-0.134,0.059,
,,Snow Depth,-0.04,0.047,-0.134,0.051,
,Food Subsidy,Wind Chill,-0.106,0.071,-0.251,0.032,
,,Snow Depth,-0.062,0.069,-0.201,0.072,
